[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined index: cellLineHeight in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 249
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined index: cellLineStackingStrategy in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 254
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined index: cellLineStackingShift in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 259
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined index: borders_separate in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 331
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 403
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 33
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 36
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined index: va in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 93
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined index: txta in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 96
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/CssManager.php on line 1743
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined index: direction in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 233
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined index: cellLineHeight in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 249
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined index: cellLineStackingStrategy in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 254
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined index: cellLineStackingShift in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 259
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined index: borders_separate in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 331
[01-Mar-2026 09:18:31 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 403
[01-Mar-2026 06:24:44 America/Los_Angeles] PHP Warning:  file_get_contents(/var/www/html/factura_santodomingo/sunat/src/../../files/facturacion/certificados/10428690481-cert.pem): failed to open stream: No such file or directory in /var/www/html/factura_santodomingo/sunat/src/Util.php on line 76
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 33
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 36
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined index: va in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 93
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined index: txta in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 96
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/CssManager.php on line 1743
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined index: direction in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 233
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined index: cellLineHeight in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 249
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined index: cellLineStackingStrategy in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 254
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined index: cellLineStackingShift in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 259
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined index: borders_separate in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 331
[01-Mar-2026 10:51:51 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 403
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 33
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 36
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined index: va in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 93
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined index: txta in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 96
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/CssManager.php on line 1743
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined index: direction in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 233
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined index: cellLineHeight in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 249
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined index: cellLineStackingStrategy in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 254
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined index: cellLineStackingShift in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 259
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined index: borders_separate in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 331
[01-Mar-2026 10:51:52 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 403
[02-Mar-2026 09:32:13 America/Lima] PHP Notice:  Undefined variable: row in /var/www/html/factura_santodomingo/app/http/controllers/VentasController.php on line 212
[02-Mar-2026 09:33:59 America/Lima] PHP Notice:  Undefined index: sistema_id in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 280
[02-Mar-2026 09:34:31 America/Lima] PHP Notice:  Undefined variable: row in /var/www/html/factura_santodomingo/app/http/controllers/VentasController.php on line 212
